SH, 01, 2013102800, 03, NG06, 006, 139S,  601E,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG06, 012, 146S,  588E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG06, 018, 146S,  570E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG06, 024, 140S,  550E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG06, 030, 143S,  536E,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG06, 036, 150S,  525E,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 000, 126S,  621E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 006, 127S,  613E,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 012, 127S,  603E,  24, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 018, 126S,  591E,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 024, 125S,  578E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 030, 123S,  562E,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 036, 126S,  547E,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 042, 125S,  530E,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 048, 121S,  518E,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 054, 118S,  502E,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG07, 060, 109S,  488E,   9, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG08, 000, 130S,  612E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG08, 006, 132S,  602E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG08, 012, 132S,  589E,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG08, 018, 129S,  575E,  21, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG08, 024, 119S,  562E,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG08, 030, 118S,  543E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG08, 036, 111S,  527E,  16, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG08, 042, 103S,  519E,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 000, 132S,  620E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 006, 136S,  612E,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 012, 140S,  602E,  21, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 018, 140S,  590E,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 024, 146S,  578E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 030, 151S,  566E,  18, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 036, 163S,  549E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 042, 168S,  539E,  18, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 048, 174S,  528E,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 054, 185S,  521E,  16, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 060, 197S,  519E,  15, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG09, 066, 201S,  513E,  16, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 000, 131S,  621E,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 006, 133S,  612E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 012, 136S,  602E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 018, 136S,  591E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 024, 136S,  579E,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 030, 136S,  563E,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 036, 139S,  545E,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 042, 146S,  530E,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 048, 149S,  520E,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG10, 054, 150S,  501E,  14, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG11, 000, 126S,  614E,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG11, 006, 130S,  602E,  26, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG11, 012, 133S,  590E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG11, 018, 135S,  577E,  22, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG11, 024, 135S,  562E,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG12, 000, 129S,  616E,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG12, 006, 129S,  609E,  24, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG12, 012, 129S,  598E,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG12, 018, 127S,  581E,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG12, 024, 123S,  568E,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG12, 030, 120S,  550E,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG12, 036, 110S,  539E,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG12, 042, 108S,  523E,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 000, 128S,  620E,  22, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 006, 129S,  612E,  25, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 012, 130S,  604E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 018, 131S,  592E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 024, 132S,  580E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 030, 135S,  567E,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 036, 138S,  554E,  21, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 042, 139S,  540E,  21, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 048, 139S,  528E,  18, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG13, 054, 140S,  512E,  13, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG14, 000, 136S,  623E,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG14, 006, 139S,  618E,  27, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG14, 012, 140S,  609E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG14, 018, 141S,  599E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG14, 024, 143S,  586E,  22, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG14, 030, 145S,  571E,  24, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG14, 036, 149S,  555E,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG14, 042, 149S,  541E,  22, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG15, 000, 132S,  618E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG15, 006, 134S,  611E,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG15, 012, 137S,  601E,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG15, 018, 139S,  590E,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG15, 024, 138S,  573E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG15, 030, 139S,  560E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG15, 036, 141S,  546E,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
