WP, 17, 2013091706, 03, HWRF, 120, 225N, 1196E,  86,  955, XX,  64, NEQ, 0090, 0067, 0076, 0093,    0,    0,  35
WP, 17, 2013091706, 03, HWRF, 126, 228N, 1192E,  77,  959, XX,  34, NEQ, 0212, 0166, 0162, 0159,    0,    0,  37
WP, 17, 2013091706, 03, HWRF, 126, 228N, 1192E,  77,  959, XX,  50, NEQ, 0165, 0091, 0110, 0120,    0,    0,  37
WP, 17, 2013091706, 03, HWRF, 126, 228N, 1192E,  77,  959, XX,  64, NEQ, 0056, 0061, 0077, 0065,    0,    0,  37
WP, 17, 2013091712, 03, HWRF, 000, 176N, 1309E,  30,  992, XX,  34, NEQ, 0157, 0000, 0125, 0000,    0,    0, 107
WP, 17, 2013091712, 03, HWRF, 006, 178N, 1306E,  42,  992, XX,  34, NEQ, 0077, 0118, 0144, 0000,    0,    0,  70
WP, 17, 2013091712, 03, HWRF, 012, 181N, 1300E,  43,  991, XX,  34, NEQ, 0130, 0117, 0158, 0128,    0,    0,  77
WP, 17, 2013091712, 03, HWRF, 018, 179N, 1294E,  50,  987, XX,  34, NEQ, 0201, 0146, 0141, 0165,    0,    0,  77
WP, 17, 2013091712, 03, HWRF, 024, 180N, 1284E,  52,  986, XX,  34, NEQ, 0228, 0173, 0220, 0200,    0,    0,  91
WP, 17, 2013091712, 03, HWRF, 024, 180N, 1284E,  52,  986, XX,  50, NEQ, 0066, 0000, 0000, 0094,    0,    0,  91
WP, 17, 2013091712, 03, HWRF, 030, 178N, 1278E,  58,  979, XX,  34, NEQ, 0259, 0181, 0177, 0222,    0,    0,  75
WP, 17, 2013091712, 03, HWRF, 030, 178N, 1278E,  58,  979, XX,  50, NEQ, 0077, 0067, 0087, 0121,    0,    0,  75
WP, 17, 2013091712, 03, HWRF, 036, 177N, 1271E,  66,  978, XX,  34, NEQ, 0277, 0225, 0213, 0247,    0,    0,  47
WP, 17, 2013091712, 03, HWRF, 036, 177N, 1271E,  66,  978, XX,  50, NEQ, 0086, 0095, 0096, 0141,    0,    0,  47
WP, 17, 2013091712, 03, HWRF, 036, 177N, 1271E,  66,  978, XX,  64, NEQ, 0000, 0000, 0049, 0000,    0,    0,  47
WP, 17, 2013091712, 03, HWRF, 042, 179N, 1263E,  75,  971, XX,  34, NEQ, 0292, 0248, 0213, 0246,    0,    0,  42
WP, 17, 2013091712, 03, HWRF, 042, 179N, 1263E,  75,  971, XX,  50, NEQ, 0114, 0098, 0106, 0121,    0,    0,  42
WP, 17, 2013091712, 03, HWRF, 042, 179N, 1263E,  75,  971, XX,  64, NEQ, 0068, 0043, 0072, 0000,    0,    0,  42
WP, 17, 2013091712, 03, HWRF, 048, 182N, 1261E,  77,  966, XX,  34, NEQ, 0289, 0249, 0236, 0281,    0,    0,  52
WP, 17, 2013091712, 03, HWRF, 048, 182N, 1261E,  77,  966, XX,  50, NEQ, 0086, 0106, 0118, 0123,    0,    0,  52
WP, 17, 2013091712, 03, HWRF, 048, 182N, 1261E,  77,  966, XX,  64, NEQ, 0059, 0078, 0087, 0000,    0,    0,  52
WP, 17, 2013091712, 03, HWRF, 054, 188N, 1256E,  69,  964, XX,  34, NEQ, 0239, 0320, 0276, 0235,    0,    0,  39
WP, 17, 2013091712, 03, HWRF, 054, 188N, 1256E,  69,  964, XX,  50, NEQ, 0114, 0105, 0130, 0094,    0,    0,  39
WP, 17, 2013091712, 03, HWRF, 054, 188N, 1256E,  69,  964, XX,  64, NEQ, 0068, 0064, 0055, 0065,    0,    0,  39
WP, 17, 2013091712, 03, HWRF, 060, 194N, 1250E,  67,  961, XX,  34, NEQ, 0190, 0337, 0289, 0209,    0,    0,  53
WP, 17, 2013091712, 03, HWRF, 060, 194N, 1250E,  67,  961, XX,  50, NEQ, 0111, 0126, 0126, 0100,    0,    0,  53
WP, 17, 2013091712, 03, HWRF, 060, 194N, 1250E,  67,  961, XX,  64, NEQ, 0081, 0084, 0058, 0069,    0,    0,  53
WP, 17, 2013091712, 03, HWRF, 066, 200N, 1246E,  86,  952, XX,  34, NEQ, 0190, 0338, 0348, 0254,    0,    0,  46
