AL, 26, 2020100312, 03, AP25,   0, 127N,  710W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP26,   0, 131N,  713W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP26,   6, 140N,  712W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP27,   0, 128N,  709W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP27,   6, 136N,  713W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP28,   0, 132N,  709W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP28,   6, 140N,  717W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP29,   0, 130N,  713W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,   0, 134N,  707W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,   6, 143N,  722W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  12, 146N,  728W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  18, 156N,  741W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  24, 161N,  756W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  30, 164N,  766W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  36, 163N,  770W,  28, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  42, 168N,  776W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  48, 171N,  789W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  54, 173N,  802W,  24, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  60, 178N,  811W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  66, 187N,  828W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  72, 196N,  840W,  27, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  78, 201N,  853W,  24, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  84, 207N,  864W,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  90, 217N,  880W,  28, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30,  96, 222N,  901W,  29, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 102, 232N,  909W,  31, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 108, 233N,  918W,  31, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 114, 242N,  926W,  34, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 120, 242N,  930W,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 
