SH, 17, 2020022100, 03, AP07, 006, 168S, 1688W,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 012, 187S, 1683W,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 018, 207S, 1703W,  24, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 024, 215S, 1704W,  24, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 030, 217S, 1701W,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 036, 217S, 1706W,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 042, 219S, 1712W,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 048, 224S, 1719W,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 054, 222S, 1729W,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 060, 215S, 1742W,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 066, 211S, 1750W,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 072, 200S, 1755W,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP07, 078, 196S, 1756W,  22, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 000, 154S, 1701W,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 006, 161S, 1704W,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 012, 166S, 1704W,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 018, 176S, 1705W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 024, 186S, 1705W,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 030, 196S, 1706W,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 036, 204S, 1709W,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 042, 211S, 1715W,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 048, 215S, 1721W,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 054, 219S, 1726W,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 060, 221S, 1733W,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 066, 230S, 1737W,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 072, 240S, 1740W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP08, 078, 255S, 1746W,  18, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 000, 156S, 1701W,  41, 1003, XX,  34, NEQ, 0128, 0124, 0000, 0000
SH, 17, 2020022100, 03, AP09, 006, 163S, 1698W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
