AL, 05, 2020070400, 03, AP12,  24, 324N,  681W,  13, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP13,   0, 315N,  727W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP13,   6, 316N,  715W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP13,  12, 318N,  701W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP13,  18, 320N,  691W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP14,   0, 313N,  726W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP14,   6, 314N,  713W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP14,  12, 314N,  700W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP14,  18, 317N,  688W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP14,  24, 321N,  678W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP14,  30, 328N,  672W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP15,   0, 313N,  727W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP15,   6, 314N,  716W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP15,  12, 313N,  702W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP15,  18, 315N,  691W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP15,  24, 319N,  682W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP15,  30, 327N,  669W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP16,   0, 313N,  726W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP16,   6, 314N,  713W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP16,  12, 315N,  696W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP16,  18, 320N,  681W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP16,  24, 327N,  672W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP17,   0, 312N,  724W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP17,   6, 313N,  713W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
