AL, 98, 2014082712, 03, GFDN,   0, 270N,  945W,  27, 1009
AL, 98, 2014082712, 03, NVGM, 018, 258N,  960W,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NVGM, 024, 258N,  964W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NVGM, 030, 257N,  965W,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NVGM, 036, 251N,  966W,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NVGM, 042, 249N,  972W,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NVGM, 048, 250N,  975W,  11, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NVGM, 054, 250N,  976W,  14, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 000, 265N,  947W,  21, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 006, 265N,  950W,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 012, 260N,  957W,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 018, 260N,  962W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 024, 258N,  963W,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 030, 254N,  964W,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 036, 250N,  968W,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 042, 251N,  974W,  13, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 048, 248N,  973W,  14, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082718, 03, NVGM, 054, 243N,  973W,  15, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082800, 03, GFDN,   0, 262N,  958W,  24, 1009
AL, 98, 2014082800, 03, GFDN,   6, 255N,  962W,  23, 1008
AL, 98, 2014082800, 03, GFDN,  12, 255N,  966W,  23, 1008
AL, 98, 2014082800, 03, GFDN,  18, 253N,  966W,  21, 1007
AL, 98, 2014082800, 03, GFDN,  24, 249N,  971W,  22, 1007
AL, 98, 2014082800, 03, GFDN,  30, 248N,  973W,  19, 1007
AL, 98, 2014082800, 03, GFDN,  36, 248N,  974W,  17, 1008
AL, 98, 2014082800, 03, GFDN,  42, 250N,  977W,  17, 1005
AL, 98, 2014082800, 03, GFDN,  48, 249N,  979W,  17, 1004
AL, 98, 2014082800, 03, GFDN,  54, 249N,  980W,  17, 1009
AL, 98, 2014082800, 03, GFDN,  60, 249N,  981W,  16, 1011
AL, 98, 2014082800, 03, GFDN,  66, 251N,  983W,  17, 1007
AL, 98, 2014082800, 03, GFDN,  72, 250N,  985W,  19, 1003
AL, 98, 2014082800, 03, NG01, 000, 255N,  952W,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082800, 03, NG01, 006, 250N,  960W,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082800, 03, NG01, 012, 238N,  953W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082800, 03, NG01, 018, 231N,  939W,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082800, 03, NG01, 024, 231N,  949W,  17, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082800, 03, NG01, 030, 238N,  959W,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082800, 03, NG01, 036, 245N,  968W,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082800, 03, NG01, 042, 251N,  969W,  15, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082800, 03, NG01, 048, 253N,  973W,  15, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
